Symbol,Name,Industry,Market Cap
ARIS,Aris Water Solutions,Utilities-Regulated Water,953437366
ARIZ,Arisz Acquisition,Blank Check / SPAC,87411639
ARKO,ARKO Corp.,Grocery Stores,1033000319
ARKR,Ark Restaurants,"Hotels, Restaurants & Leisure",63342250
ARL,American Realty Investors,Real Estate Management & Development,213367920
ARLO,Arlo Technologies,"Electronic Equipment, Instruments & C...",825909114
ARLP,Alliance Resource Partners,"Oil, Gas & Consumable Fuels",1977882234
ARMK,Aramark,"Hotels, Restaurants & Leisure",9077738493
ARMP,Armata Pharmaceuticals,Biotechnology,121679319
ARNC,Arconic,Aerospace & Defense,2529001975
AROC,Archrock,Energy Equipment & Services,1431229949
AROW,Arrow Financial,Banks,545544172
ARQQ,Arqit Quantum,Software-Infrastructure,1527328636
ARQT,Arcutis Biotherapeutics,Biotechnology,848908088
ARR,ARMOUR Residential REIT,Mortgage Real Estate Investment Trust...,822770554
ARRW,Arrowroot Acquisition,Blank Check / SPAC,350750009
ARRY,Array Technologies,Solar,1581551608
ARTA,Artisan Acquisition,Blank Check / SPAC,435664576
ARTE,Artemis Strategic Investment,Blank Check / SPAC,248291693
ARTL,Artelo Biosciences,Pharmaceuticals,17351869
ARTNA,Artesian Resources,Water Utilities,450339203
ARTW,Art's-Way Manufacturing Co.,Machinery,26615657
ARVL,Arrival,Auto Manufacturers,2101357437
ARVN,Arvinas,Pharmaceuticals,3618308585
ARW,Arrow Electronics,"Electronic Equipment, Instruments & C...",8113695205
ARWR,Arrowhead Pharmaceuticals,Biotechnology,4406118883
ARYD,ARYA Sciences Acquisition IV,Blank Check / SPAC,187835834
ARYE,Arya Sciences Acquisition V,Blank Check / SPAC,185725320
ASA,ASA Gold and Precious Metals,Capital Markets,441352889
ASAI,Sendas Distribuidora,Food & Staples Retailing,3423857917
ASAN,Asana,Software,6625809400
ASAQ,Atlantic Street Acquisition,Blank Check / SPAC,307812509
ASAX,Astrea Acquisition,Blank Check / SPAC,215526750
ASB,Associated Banc-Corp,Banks,3472331771
ASC,Ardmore Shipping,"Oil, Gas & Consumable Fuels",140548351
ASCA,A SPAC I Acquisition,Blank Check / SPAC,82008000
ASGN,ASGN Incorporated,Professional Services,5452056000
ASH,Ashland Global Holdings,Chemicals,4956128234
ASIX,AdvanSix,Chemicals,1339802484
ASLE,AerSale,Airports & Air Services,767345535
ASLN,ASLAN Pharmaceuticals,Biotechnology,55693760
ASM,Avino Silver & Gold Mines,Metals & Mining,103265431
ASMB,Assembly Biosciences,Biotechnology,72271167
ASML,ASML Holding,Semiconductors & Semiconductor Equipment,2.3738E+11
